Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Kasper Kvinnesland,,Fredrik Nilssen,"21/17,21/13",Kasper Kvinnesland,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Camilla Stokkaune,,Martin Borge Heir,"21/8,21/5",Camilla Stokkaune,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Andreas Buseth,,Per Arne Aas,"21/14,22/20",Andreas Buseth,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Jonatan Smeby,,Mourad Touil,"21/10,21/4",Jonatan Smeby,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Renaud Gonce,,Martin Borge Heir,"21/12,21/8",Renaud Gonce,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Akhil Anand,,Andreas Buseth,"21/6,21/15",Akhil Anand,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Sandeep,,Dianne Christine Geronimo,"21/12,21/10",Sandeep,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Dexter Regarde,,Camilla Stokkaune,"21/18,21/9",Dexter Regarde,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Morten Solberg,,Surendra Yadav,"21/7,21/8",Morten Solberg,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Esben Bjørkmann Pettersen,,Fabian Statz,"21/7,21/6",Esben Bjørkmann Pettersen,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Bjørnar Eikebrokk,,Sampsa Kohtala,"21/8,21/11",Bjørnar Eikebrokk,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Sulalit Bandyopadhyay,,Per Arne Aas,"21/5,21/12",Sulalit Bandyopadhyay,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Matz Wiik,,Jonatan Smeby,"21/17,21/6",Matz Wiik,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Bendik Brekke Thorfinnsson,,Ruben Mong,"21/14,21/8",Bendik Brekke Thorfinnsson,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Kasper Kvinnesland,,Mourad Touil,"21/3,21/2",Kasper Kvinnesland,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Esben Bjørkmann Pettersen,,Kasper Kvinnesland,"21/7,21/14",Esben Bjørkmann Pettersen,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Sulalit Bandyopadhyay,,Morten Solberg,"21/17,21/17",Sulalit Bandyopadhyay,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Bjørnar Eikebrokk,,Renaud Gonce,"21/7,21/5",Bjørnar Eikebrokk,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Sandeep,,Akhil Anand,"21/11,21/10",Sandeep,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Dexter Regarde,,Nora Lindland,"21/14,21/13",Dexter Regarde,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Ham George Varghese,,Elias Søvik Gunnarsson,"21/12,21/12",Ham George Varghese,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Camilla Stokkaune,,Fredrik Nilssen,"21/11,21/15",Camilla Stokkaune,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Dianne Christine Geronimo,,Jonatan Smeby,"21/12,21/5",Dianne Christine Geronimo,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Ruben Mong,,Andreas Buseth,"21/18,21/13",Ruben Mong,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Sampsa Kohtala,,Martin Borge Heir,"21/10,21/9",Sampsa Kohtala,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Surendra Yadav,,Per Arne Aas,"21/19,21/10",Surendra Yadav,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Fabian Statz,,Mourad Touil,"21/4,21/3",Fabian Statz,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Sandeep,,Sulalit Bandyopadhyay,"21/6,21/18",Sandeep,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Morten Solberg,,Kasper Kvinnesland,"21/7,21/15",Morten Solberg,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Arne Bjørn Berger,,Camilla Stokkaune,"21/8,21/10",Arne Bjørn Berger,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Akhil Anand,,Sampsa Kohtala,"21/12,21/12",Akhil Anand,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Emma Søvik,,Renaud Gonce,"21/15,21/13",Emma Søvik,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Ruben Mong,,Surendra Yadav,"21/15,21/13",Ruben Mong,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Nora Lindland,,Elias Søvik Gunnarsson,"21/15,21/10",Nora Lindland,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Fredrik Nilssen,,Andreas Buseth,"21/16,21/16",Fredrik Nilssen,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Martin Borge Heir,,Mourad Touil,"21/10,21/11",Martin Borge Heir,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Sandeep,,Esben Bjørkmann Pettersen,"21/18,21/18",Sandeep,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Bjørnar Eikebrokk,,Dexter Regarde,"21/19,22/20",Bjørnar Eikebrokk,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Morten Solberg,,Arne Bjørn Berger,"21/17,21/9",Morten Solberg,
